keyword;reg stat F;reg stat T;;;;100,12%
reforms;18%;-6%;;;;36,94%
boost;-19%;-5%;;;;
consolidate;56%;-2%;;;;
construction;12%;-16%;;;;
outperform;-32%;-44%;;;;
savings;167%;43%;;;;
progress;-14%;-9%;;;;
booming;212%;11%;;;;
accrue;-178%;-10%;;;;
surpass;66%;2%;;;;
debt;21%;-29%;;;;
crisis;0%;0%;;;;
decline;-23%;2%;;;;
recession;-104%;-39%;;;;
unemployment;3%;-24%;;;;
bankrupt;72%;2%;;;;
deficit;187%;31%;;;;
collapse;95%;-28%;;;;
market crash;-90%;-56%;;;;
downturn;122%;15%;;;;
banana;-62%;-10%;;;;
door;-62%;2%;;;;
weather;113%;13%;;;;
chopstick;-5%;-12%;;;;
phone;52%;45%;;;;
chicago;18%;7%;;;;
christmas;-155%;-31%;;;;
swim;-9%;-4%;;;;
bycicle;67%;28%;;;;
programming;-5%;-3%;;;;
;;;;;;
