Sector;Representing fund;Ticker
Real estate;Vanguard Real Estate ETF;VNQ
Technology;Technology Select Sector SPDR Fund;XLK
Materials;Materials Select Sector SPDR Fund;XLB
Health care;Health Care Select Sector SPDR Fund;XLV
Industrial;Industrial Select Sector SPDR Fund;XLI
Consumer staples;Consumer Staples Select Sector SPDR Fund;XLP
Energy;Energy Select Sector SPDR Fund;XLE
Consumer discretionary;Consumer Discretionary Select Sector SPDR Fund;XLY
Communication services;Vanguard Communication Services ETF;VOX
Utilities;Utilities Select Sector SPDR Fund;XLU
Financial;Financial Select Sector SPDR Fund;XLF
